Station,Line,Lat,Lon,Height_Sea_Level_m,Height_Ellipsoid_m
1000,10,-32.453644,118.884384,335,309.31
1000,10,-32.453644,118.884384,335,309.31
1000,10,-32.45377,118.884262,335,309.31
1000,10,-32.453663,118.884346,335,309.31
2000,100,-32.363152,119.643196,379,353.31
2000,100,-32.363152,119.643196,379,353.31
2001,100,-32.362728,119.643143,379,353.31
2001,100,-32.362728,119.643143,379,353.31
2001,100,-32.362728,119.643143,379,353.31
2001,100,-32.362728,119.643143,379,353.31
2002,100,-32.362442,119.642952,379,353.31
2002,100,-32.362442,119.642952,379,353.31
2003,100,-32.361912,119.642685,380,354.31
2003,100,-32.361912,119.642685,380,354.31
2004,100,-32.361549,119.642609,380.0568848,354.3668848
2004,100,-32.361549,119.642609,380.0568848,354.3668848
2005,100,-32.36113,119.642456,380.2337646,354.5437646
2005,100,-32.36113,119.642456,380.2337646,354.5437646
2006,100,-32.36068,119.642334,380.4883118,354.7983118
2006,100,-32.36068,119.642334,380.4883118,354.7983118
2007,100,-32.360249,119.642189,379.4573059,353.7673059
2007,100,-32.360249,119.642189,379.4573059,353.7673059
2008,100,-32.359821,119.642029,380.0904236,354.4004236
2008,100,-32.359821,119.642029,380.0904236,354.4004236
2009,100,-32.359356,119.641991,380.8971252,355.2071252
2009,100,-32.359356,119.641991,380.8971252,355.2071252
2010,100,-32.358906,119.641899,379.7887878,354.0987878
2010,100,-32.358906,119.641899,379.7887878,354.0987878
2011,100,-32.358456,119.641785,379.0667114,353.3767114
2011,100,-32.358456,119.641785,379.0667114,353.3767114
2000,100,-32.363091,119.643234,379,353.31
2000,100,-32.363091,119.643234,379,353.31
2000,100,-32.363091,119.643234,379,353.31
2000,100,-32.363091,119.643234,379,353.31
2012,100,-32.357983,119.641617,379.870636,354.180636
2012,100,-32.357983,119.641617,379.870636,354.180636
2013,100,-32.357674,119.641533,379.6863708,353.9963708
2013,100,-32.357674,119.641533,379.6863708,353.9963708
2014,100,-32.357178,119.64138,378.446228,352.756228
2014,100,-32.357178,119.64138,378.446228,352.756228
2015,100,-32.356682,119.641342,380.1652222,354.4752222
2015,100,-32.356682,119.641342,380.1652222,354.4752222
2016,100,-32.356236,119.641151,380.6453857,354.9553857
2016,100,-32.356236,119.641151,380.6453857,354.9553857
2017,100,-32.3559,119.64106,379.8978271,354.2078271
2017,100,-32.3559,119.64106,379.8978271,354.2078271
2018,100,-32.355309,119.64106,379.8464661,354.1564661
2018,100,-32.355309,119.64106,379.8464661,354.1564661
2000,100,-32.363148,119.643143,379,353.31
2000,100,-32.363148,119.643143,379,353.31
1000,10,-32.453728,118.884361,335,309.31
1000,10,-32.453503,118.884323,335,309.31
1000,10,-32.453568,118.884384,335,309.31
1000,10,-32.453693,118.884323,335,309.31
2000,100,-32.363197,119.643234,379,353.31
2000,100,-32.363197,119.643234,379,353.31
1999,100,-32.363739,119.64325,381.2293701,355.5393701
1999,100,-32.363739,119.64325,381.2293701,355.5393701
1998,100,-32.364124,119.643463,382.0766907,356.3866907
1998,100,-32.364124,119.643463,382.0766907,356.3866907
1997,100,-32.36462,119.643593,382.3528137,356.6628137
1997,100,-32.36462,119.643593,382.3528137,356.6628137
1996,100,-32.3652,119.643524,381.7957764,356.1057764
1996,100,-32.3652,119.643524,381.7957764,356.1057764
2000,100,-32.363216,119.643257,379,353.31
2000,100,-32.363216,119.643257,379,353.31
2000,100,-32.363216,119.643257,379,353.31
2000,100,-32.363216,119.643257,379,353.31
2000,0,-32.363186,119.641022,380.7261963,355.0361963
2000,0,-32.363186,119.641022,380.7261963,355.0361963
2000,50,-32.363243,119.642151,380.4863281,354.7963281
2000,50,-32.363243,119.642151,380.4863281,354.7963281
2000,150,-32.363152,119.644279,382.1535339,356.4635339
2000,150,-32.363152,119.644279,382.1535339,356.4635339
2000,200,-32.363209,119.645218,382.4130554,356.7230554
2000,200,-32.363209,119.645218,382.4130554,356.7230554
2001,200,-32.362751,119.64518,382.0910339,356.4010339
2001,200,-32.362751,119.64518,382.0910339,356.4010339
2002,200,-32.362396,119.645355,384.008606,358.318606
2002,200,-32.362396,119.645355,384.008606,358.318606
2002,200,-32.362396,119.645355,384.008606,358.318606
2002,200,-32.362396,119.645355,384.008606,358.318606
2002,150,-32.362434,119.644318,381.8186646,356.1286646
2002,150,-32.362434,119.644318,381.8186646,356.1286646
2001,150,-32.362873,119.644241,381.02948,355.33948
2001,150,-32.362873,119.644241,381.02948,355.33948
2000,100,-32.363205,119.643211,379,353.31
2000,100,-32.363205,119.643211,379,353.31
1000,10,-32.453671,118.884323,335,309.31
1000,10,-32.453671,118.884323,335,309.31
